172.30.10.251   /32  864    56165839311          71489634563712
    Group: 225.33.54.2     Packets: 280364380 Bytes: 362044380808
    Group: 225.33.54.3     Packets: 281475077 Bytes: 363061734152
    Group: 225.33.54.4     Packets: 280260478 Bytes: 362055072788
    Group: 225.33.54.5     Packets: 282161394 Bytes: 363635925336
    Group: 225.33.54.6     Packets: 280070201 Bytes: 361558247796
    Group: 225.33.54.7     Packets: 281446460 Bytes: 362936031880
    Group: 225.33.54.8     Packets: 280431486 Bytes: 362085055832
    Group: 225.33.54.9     Packets: 281500598 Bytes: 363133574404
    Group: 225.33.54.10    Packets: 281833788 Bytes: 363660211668
    Group: 225.33.54.11    Packets: 281986325 Bytes: 363642595180
    Group: 225.33.54.12    Packets: 280843994 Bytes: 362842681424
    Group: 225.33.54.13    Packets: 282386180 Bytes: 364296303868
    Group: 225.33.54.14    Packets: 282124861 Bytes: 363628425624
    Group: 225.33.54.15    Packets: 280999182 Bytes: 362584356848
    Group: 225.33.54.16    Packets: 281067467 Bytes: 362737177368
    Group: 225.33.54.17    Packets: 281440528 Bytes: 363014118340
    Group: 225.33.54.18    Packets: 281901987 Bytes: 363529366920
    Group: 225.33.54.19    Packets: 280145276 Bytes: 361657945020
    Group: 225.33.54.20    Packets: 280843117 Bytes: 362472264532
    Group: 225.33.54.21    Packets: 278779760 Bytes: 360608897364
    Group: 225.33.54.22    Packets: 281691459 Bytes: 363302074688
    Group: 225.33.54.23    Packets: 280066586 Bytes: 361747682348
    Group: 225.33.54.24    Packets: 281505753 Bytes: 363276583140
    Group: 225.33.54.25    Packets: 281865770 Bytes: 363562359224
    Group: 225.33.54.26    Packets: 280083648 Bytes: 361751950352
    Group: 225.33.54.27    Packets: 281192906 Bytes: 362871129888
    Group: 225.33.54.28    Packets: 280916288 Bytes: 362569761108
    Group: 225.33.54.29    Packets: 282048590 Bytes: 363773369204
    Group: 225.33.54.31    Packets: 282247356 Bytes: 363923822116
    Group: 225.33.54.32    Packets: 282596029 Bytes: 364236907732
    Group: 225.33.54.33    Packets: 281914060 Bytes: 363433186140
    Group: 225.33.54.34    Packets: 281019528 Bytes: 362668025168
    Group: 225.33.54.35    Packets: 280152074 Bytes: 361785822896
    Group: 225.33.54.36    Packets: 281466070 Bytes: 362861584940
    Group: 225.33.54.37    Packets: 280927331 Bytes: 362588736832
